"id","trilha que pertence","nome do curso","horas de curso","linguagem","framework que aprende","descrição do curso","quais habilidades receberei ao final do curso","projetos a serem entregues","avaliação do curso interna","quais projetos são desenvolvidos","pre requisitos","comentario seu sobre o curso"
"25","Análise de Dados com IA","Análise de dados em 10 minutos com Claude Code","1h 19min","Claude / Prompt Engineering (IA)","Claude Code, MCP","Monte seu ambiente de análise de dados e conduza análises completas com o Claude trabalhando no notebook por você.","Como montar um ambiente de análise de dados com IA usando Claude Code, uv e Jupyter | Como o Claude conduz uma análise exploratória controlando o notebook por meio do MCP | Como transmitir o contexto ideal para o Claude através de pastas, skills, comandos e o arquivo CLAUDE.md | Como replicar uma análise profissional, pensando da mesma forma que um profissional sênior faria | Como analisar dados reais, combinando múltiplas tabelas e fontes públicas | Como ajustar gráficos, fazer perguntas de follow-up e gerenciar o contexto da conversa","Analisando dados em 10 minutos | O passo a passo da análise | Como um sênior analisa dados? | A estrutura ideal do projeto | A importância do arquivo CLAUDE.md | Skills e comandos: transformando o Claude em um analista | Jupyter MCP: conectando o Claude ao Notebook | Pré-requisitos para rodar o projeto | Estudo de caso: acidentes em rodovias federais | Estudo de caso: vendas de e-commerce (Olist) | Estudo de caso: resultados do ENEM | Dicas finais e encerramento","4.9","Analisando dados em 10 minutos | O passo a passo da análise | Como um sênior analisa dados? | A estrutura ideal do projeto | A importância do arquivo CLAUDE.md | Skills e comandos: transformando o Claude em um analista | Jupyter MCP: conectando o Claude ao Notebook | Pré-requisitos para rodar o projeto | Estudo de caso: acidentes em rodovias federais | Estudo de caso: vendas de e-commerce (Olist) | Estudo de caso: resultados do ENEM | Dicas finais e encerramento","para rodar o projeto","Avaliação interna alta, conteúdo consolidado."
"26","não encontrado","Claude Desktop - Automatize tarefas do dia a dia","1h 58min","Claude / Prompt Engineering (IA)","Claude Code","Aprenda a usar o Claude Desktop para automatizar tarefas do dia a dia sem escrever uma linha de código.","Entender as diferenças entre o Chat, o Cowork e o Claude Code | Navegar na interface do Claude Desktop e configurar o Cowork | Usar habilidades (skills) nativas e criar suas próprias | Conectar o Cowork a ferramentas externas como Gmail e Google Drive | Organizar pastas e arquivos com um único prompt | Analisar e revisar contratos em PDF usando OCR automatizado | Criar e enviar e-mails com arquivos em anexo sem sair do Cowork | Criar arquivos CLAUDE.md para dar contexto persistente a projetos","não encontrado","4.8","Apresentação – Claude Desktop | O que é o Claude Desktop? | Por que o Claude vai mudar sua forma de trabalhar? | Dominando o Claude Cowork | O que fazer se seu computador não for compatível com o Cowork | Analista de Contratos | Automação: Briefing de E-mails e Agenda | Criando um Analista de Dados | Diferença entre Cowork e Claude como extensão | Claude para Excel: principais aplicações | Claude para Power Point: Criando apresentaçoes a partir de planilhas | Claude como extensão do Google Chrome","Não informado na página - verificar ementa","Avaliação interna alta, conteúdo consolidado."
"27","Análise de Dados com Python","Estatística para iniciantes - aprenda a pensar como um analista","3h 31min","Python","Pandas, Python puro","Aprenda estatística do zero! Aprenda a teoria de forma descomplicada e coloque os conceitos em prática com Python.","Entender as bases da estatística aplicada à análise de dados | Identificar e classificar tipos de variáveis e suas implicações analíticas | Escolher e interpretar representações visuais adequadas para diferentes dados | Conceitos gerais de estatística descritiva e estatística inferencial","não encontrado","4.8","Apresentação do curso – Estatística para iniciantes | Preparando o ambiente e conhecendo os dados | Tipos de Variáveis | População vs. Amostra | Parâmetros, Estatísticas e Intervalo de Confiança | Estatística descritiva vs inferencial | Quiz – Introdução à estatística | Média, Mediana e Moda | Medidas de dispersão | Erro-padrão | Coeficiente de Variação | Medidas separatrizes e Boxplot | Simetria e Assimetria | Curtose | Quiz – Estatística descritiva | Distribuição normal | Distribuição normal padronizada | Teorema central do limite | Tipos de Amostragem e cálculo amostral | Significância estatística | Testes de hipóteses e p-valor | Amostras pareadas e independentes | Testes paramétricos – parte 1 | Testes paramétricos – parte 2 | Testes não-paramétricos | Tamanho de efeito | Quiz – Estatística inferencial","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"28","Análise de Dados com Python","Python para dados: do zero à análise completa","3h 47min","Python","Pandas","Saia do zero e analise dados com Python e Pandas neste curso gratuito com certificado!","Construir hábitos de aprendizado eficazes | Técnicas para superar a procrastinação | Fundamentos de programação com Python | Manipular dados do Portal da Transparência | Criar gráficos e visualizações de dados | Limpar e tratar grandes conjuntos de dados | Aplicar filtros e agrupamentos em tabelas | Usar o Google Colab para análises práticas | Explorar e transformar dados com a biblioteca Pandas","não encontrado","4.9","Bem-vindo! | Como vamos aprender? | Para quem é este curso? | Por que “aprender a aprender”? | O que, como e por quê? | Como nosso cérebro aprende? | Hábitos e procrastinação | As principais técnicas de aprendizado | Como aprender a programar | Os dados do Portal da Transparência | Como Python ajuda na análise de dados | Conhecendo os Notebooks do Google Colab | Nosso primeiro código no Google Colab | Lendo dados do Google Drive | Acessando e manipulando colunas | Operações entre colunas e tipos de dado | Contando frequências | Criando novas tabelas e agrupando dados | Séries booleanas e filtros | Lidando com dados nulos aula | Trabalhando com datas | Combinando agregrações e filtros | Criando e customizando um gráfico | Exploração de dados e união de tabelas | Salvando os resultados e criando a análise final | Não pare por aqui!","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Curso muito popular e bem avaliado, aposta segura."
"29","Automatizando Tudo com n8n","Consumindo API’s com n8n","1h 34min","n8n (No-Code/Low-Code)","n8n","O curso ""Consumindo APIs com n8n"" ensina você a criar integrações robustas e conectar qualquer sistema do mercado. Do zero à prática, aprenda a dominar o protoc","A base do HTTP no n8n: Como montar requisições do jeito certo (usando GET e POST), enviar pacotes de dados no body (JSON), configurar headers e extrair os dados exatos de qualquer resposta. | Autenticação na prática: Como passar pelas barreiras de segurança das APIs usando API Key/Bearer, Basic Auth e credenciais OAuth2 com renovação de token sem travar. | Consumir listas gigantes: Como escalar o consumo de dados utilizando paginação (page, offset ou cursor) sem quebrar o seu workflow. | Lidar com limites e erros: Como deixar suas integrações à prova de falhas lidando com rate limits (erros 429) e quedas de servidor (erros 5xx) através de retries, backoff simples e idempotência. | Webhooks (modo receber): Como inverter a lógica para receber eventos em tempo real, validando o payload e respondendo de forma correta.","não encontrado","4.9","Abertura | Conhecendo as apis no n8n | Autenticação | Paginação | Rate limit e tratamento de erros | Webhooks | Fechamento","Recomendado concluir módulos anteriores da trilha 'Automatizando Tudo com n8n' ou ter base em n8n (No-Code/Low-Code)","Automação No-Code com forte demanda em empresas, ROI rápido sem precisar programar."
"30","Automatizando Tudo com n8n","Estrutura no-code para Automações Profissionais","38min","n8n (No-Code/Low-Code)","Docker, n8n","Configure uma VPS do zero com n8n, Evolution API e MinIO rodando com domínio próprio e HTTPS em minutos.","Comprar e configurar um domínio e uma VPS do zero | Instalar e acessar o Portainer para gerenciar containers visualmente | Configurar o Traefik como proxy reverso com certificados SSL automáticos | Instalar o MinIO como armazenamento S3 local para arquivos e mídia | Fazer o deploy da Evolution API integrada ao MinIO | Subir o n8n em produção com domínio próprio em menos de 5 minutos | Criar um conector de QR Code para conectar instâncias WhatsApp via Evolution API","não encontrado","4.6","Introdução – Setup Orion | Pré-requisitos para uso do Setup Orion | Comprando o Domínio | Configuração da VPS | Instalando Portainer e Traeffik | Instalando e Configurando o MinIO (S3) | Evolution API junto com o MinIO | Deploy do N8N em 5 minutos | Conector Evolution API","para uso do Setup Orion","Curso intermediário, bom para aprofundar e complementar trilha."
"31","Agentes com GPT","Criando agentes com GPT","47min","Claude / Prompt Engineering (IA)","não encontrado","Entenda o que são agentes de IA e conheça o caminho completo da formação, do nível básico ao avançado.","Entender o que é um agente de IA e como ele difere de um chat comum | Criar GPTs personalizados na interface do ChatGPT | Estruturar prompts eficientes usando papel, instruções e exemplos | Montar uma base de conhecimento para agentes especializados | Configurar ferramentas como busca na web e geração de imagens | Usar IA para escrever e refinar prompts com mais qualidade | Aplicar técnicas de engenharia de prompts em projetos práticos","não encontrado","4.9","Conhecendo os GPTs | Criando nosso primeiro Agente | Engenharia de Prompt (e nosso segundo Agente) | Criando prompts usando outras IAs (e nosso terceiro Agente) | Indo além: engenharia de prompts","Recomendado concluir módulos anteriores da trilha 'Agentes com GPT' ou ter base em Claude / Prompt Engineering (IA)","Avaliação interna alta, conteúdo consolidado."
"32","Automatizando Tudo com n8n","Dominando Automações com n8n","2h 47min","n8n (No-Code/Low-Code)","n8n","Aprenda a usar o n8n do jeito certo e comece agora a transformar tarefas repetitivas em automações poderosas.","Entender o que é o n8n e por que ele se tornou tão popular | Automações com n8n: Introdução Prática | Usar triggers para iniciar fluxos e controlar o processamento de dados | Aplicar controles de fluxo para criar automações inteligentes | Integrar o n8n com o Google Sheets para conectar e manipular dados externos | Construir suas primeiras automações do início ao fim com uma abordagem prática","não encontrado","4.8","Sejam Bem-Vindos: O Que Você Vai Aprender | Por Que o N8N Se Tornou Tão Popular? | O Que Eu Serei Capaz de Construir? | O Que Vamos Construir Juntos | Preparando o Ambiente | Triggers: Como Tudo Começa | Quiz 1 | Fluxo e Processamento dos Dados | Entendendo sobre Controles de Fluxo | Integrando N8N com o Google Sheets | Quiz 2 | Aula de Encerramento | Teste final | Introdução: O que você vai dominar nesse módulo | O objeto de dados: Criando dados, lendo, entendendo e moldando | Listas e itens: quebrando e juntando dados | Editando listas sem código: Filter, Sort e Limit | Ramificando e juntando o fluxo com Merge | Introdução: o que você vai dominar nesse módulo | O que é uma expression | Transformando texto | Formatando datas e números | Condicionais e fallbacks e finalização","Recomendado concluir módulos anteriores da trilha 'Automatizando Tudo com n8n' ou ter base em n8n (No-Code/Low-Code)","Automação No-Code com forte demanda em empresas, ROI rápido sem precisar programar."
"33","Agentes com GPT","Fundamentos da IA Generativa","1h 32min","Python","MCP","Entenda os fundamentos da IA Generativa e dos agentes de IA para começar qualquer projeto com inteligência artificial.","A história da inteligência artificial e da IA Generativa. | Como funcionam as LLMs por debaixo dos panos. | O que é um agente de IA e quais os principais modelos disponíveis. | Como equipar agentes com ferramentas para executar tarefas. | O que são skills e MCPs. | Por que a alucinação acontece e como reduzi-la.","não encontrado","4.9","Apresentação | Um pouco de história | Entendendo a lógica das LLMs | Engenharia de Prompts | Explorando diferentes modelos | Conectando ferramentas | Janela de contexto | Alucinação (e como evitá-las?) | Skills, MCPs e nosso primeiro agente","Recomendado concluir módulos anteriores da trilha 'Agentes com GPT' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"34","Análise de Dados com IA","Engenharia de Prompts","2h 9min","Claude / Prompt Engineering (IA)","não encontrado","Domine a arte de criar prompts eficazes para modelos de linguagem como o ChatGPT!","Estruturar prompts para respostas precisas | Desenvolver prompts claros e específicos | Criar chatbots personalizados simples e eficientes | Analisar sentimentos através de prompts | Utilizar técnicas de encadeamento e extração | Utilizar técnicas de One e Few-Shot | Implementar prompts para diferentes públicos e personas","não encontrado","4.8","Apresentação ao curso de Engenharia de Prompt | Conceitos Gerais de LLMs | Atualização importante: o Playground da OpenAI mudou | Os princípios de um bom prompt | Criando prompts claros e específicos | Elementos de um Prompt | Persona, Público e Exemplos | Delimitadores e Saídas Estruturadas | Prompt Zero, One e Few-Shot | Quiz – Clareza e Especificidade | Dando tempo para o modelo pensar (COT) | Prompts avançados: exemplos do Claude | Encadeamento (Chaining) | Resumo e Extração | Inferência e Análise de Sentimento | Transformando, traduzindo e modificando | Criação de Chatbots Personalizados | Quiz – Aplicações de Prompts | Finalizando o curso de Engenharia de Prompt | Teste Final – Engenharia de Prompts","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com IA' ou ter base em Claude / Prompt Engineering (IA)","Curso muito popular e bem avaliado, aposta segura."
"35","Trading Quantitativo","Python Starter","8h 1min","Python","não encontrado","Aprenda a programar em Python saindo do absoluto zero, com qualidade e didática da Asimov.","Lógica de Programação | Linguagem de programação Python do zero | Módulo OS: interagindo com seu computador e seus arquivos | Como gerenciar erros e fazer depuração de código para programar melhor | Programação orientada a objetos (POO) e como usá-la na prática | Criação de jogos com Python, como “Jogo da Velha” e “Pedra, Papel e Tesoura”","não encontrado","4.8","Boas-vindas | Asimov Academy: nossos princípios | O que é uma linguagem de programação | O que podemos e não podemos fazer com Python | Como tirar suas dúvidas? | Apresentação Lógica de Programação | Algoritmos 1 | Algoritmos 2 | Algoritmos 3 | Algoritmos 4 | Quiz – Algoritmos 1 | Variáveis | Operadores | Estruturas de controle de fluxo | Estruturas de repetição | Quiz – Algoritmos 2 | O que é Python | Atualização – instalando e configurando Python | O terminal do Windows | Instalando Python no Windows | O que são IDEs | Instalando e configurando o VS Code | Extensões e atalhos do VS Code | Jupyter Notebook e Jupyter Lab | Primeiros passos com JupyterLab | Números | Quiz – Operadores Básicos | Strings e Indexação | Mais sobre Strings e Métodos embutidos | Quiz – Strings","Recomendado concluir módulos anteriores da trilha 'Trading Quantitativo' ou ter base em Python","Curso âncora da escola, maior base de alunos, excelente fundação - obrigatório para iniciantes."
"36","Python Office: Automações com Python","Automatizando Tudo no seu Computador com PyAutoGUI","2h 39min","Python","PyAutoGUI","Automatize o uso do teclado e do mouse e deixe que eles façam suas tarefas por você! Aprenda a automatizar qualquer atividade no seu PC.","O que é a biblioteca PyAutoGUI e para que serve | Criação de scripts | Plano Cartesiano | Automatizar o uso do teclado e do mouse | Coordenadas do mouse | Teclas de atalho com teclado | Inserção de texto com teclado | Movimentos com o mouse | Clique e Scroll com o mouse | Localizar imagens na tela | Campos interativos durante execução de scripts","não encontrado","4.8","Para que serve o PyAutoGUI | Lógica do PyAutoGUI | Plano cartesiano na tela | Inserção de texto | Pressionar teclas | Teclas de atalho | Navegação | Quiz – funções do teclado | Pegando as coordenadas do mouse em tempo real | Movimento absoluto | Movimento relativo | Movimento de clique e arraste | Movimento com clique pressionado | Quiz – movimento do mouse | Tipos de clique | Scroll | Como copiar uma seleção da tela | Localização de uma imagem | Facilitando a extração de imagens – Flameshot | Melhorando a identificação das imagens com OpenCV | Quiz – cliques e componentes na tela | Tratamento de exceções – Interrompendo o programa | Inserção dinâmica de texto | Inserção de avisos na tela | Teste final – automação com PyAutoGUI","Recomendado concluir módulos anteriores da trilha 'Python Office: Automações com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"37","Análise de Dados com Python","Aprendendo Python: Conceitos Básicos","6h 12min","Python","Pandas, Python puro","Aprenda a linguagem de programação mais famosa do momento! Este é o curso certo para quem quer dar seus primeiros passos em Python.","Criação de scripts | Tipos de dados em Python: texto, números e valores booleanos | Controle de fluxo | Estruturas de dados em Python: listas, tuplas e dicionários | Loops e iteração | Métodos de cada tipo de dado | Criação de funções | Biblioteca padrão de Python","não encontrado","4.9","Como vamos aprender Python? | Criando nosso primeiro script | Números em Python | Texto em Python | Variáveis | Pegando valores do usuário | Desafio – entrevista | Formatação de texto | Quiz – Fundamentos do Python | Controle de fluxo | Operadores de comparação | Operadores booleanos | Desafio – usuário e senha | Desafio – acerte o número | Quiz – Controle de fluxo | Listas | Tuplas e dados mutáveis | Sequências | Slicing | A função range | For loops | Iterando sobre sequências | While loops | Break e continue | Desafio – iteração | Desafio – iteração com múltiplas listas | Quiz – Sequências e loops | Dicionários | O operador in | Métodos em Python","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Curso muito popular e bem avaliado, aposta segura."
"38","Integrando Python e Excel","Python para Usuários de Excel","4h 7min","Python","Dash, Excel","Aprenda como a programação pode transformar seu ambiente de trabalho! Crie apps web, manipule dados com pandas e seja um profissional mais versátil","Ler, criar e estilizar tabelas | Operações em tabelas, manipulação de colunas | Mesclagem de tabelas (o PROCV do Python) | Criação de gráficos interativos | Criação de tabelas dinâmicas customizáveis | Criação de aplicativos web","O que vamos aprender nesse curso | Criando uma tabela | Importando arquivos Excel | Visualizando Tabelas | Miniprojeto 01 – Visualizando dados em um Web App | Quiz – Trabalhando com tabelas | Selecionando colunas e filtrando linhas | Adicionando novas colunas | Adicionando novas linhas | Miniprojeto 02 – Seleção de colunas e filtro de linhas | Miniprojeto 03 – Adição de linhas à tabela | Quiz – Manipulação de linhas e colunas | Mesclando tabelas – o PROCV no Python | Realizando cálculos na tabela | Miniprojeto 04 – Visualizando volume de vendas e comissões | Tabelas dinâmicas – Pivotando e agrupando tabelas | Miniprojeto 05 – Tabela dinâmica | Quiz – PROCV e operações em tabelas | Criando gráficos com Plotly | Miniprojeto 06 – Adicionando gráficos com Plotly | Quiz – Criando gráficos interativos | Finalizando o curso | Teste final – Python para Usuários de Excel","4.8","O que vamos aprender nesse curso | Criando uma tabela | Importando arquivos Excel | Visualizando Tabelas | Miniprojeto 01 – Visualizando dados em um Web App | Quiz – Trabalhando com tabelas | Selecionando colunas e filtrando linhas | Adicionando novas colunas | Adicionando novas linhas | Miniprojeto 02 – Seleção de colunas e filtro de linhas | Miniprojeto 03 – Adição de linhas à tabela | Quiz – Manipulação de linhas e colunas | Mesclando tabelas – o PROCV no Python | Realizando cálculos na tabela | Miniprojeto 04 – Visualizando volume de vendas e comissões | Tabelas dinâmicas – Pivotando e agrupando tabelas | Miniprojeto 05 – Tabela dinâmica | Quiz – PROCV e operações em tabelas | Criando gráficos com Plotly | Miniprojeto 06 – Adicionando gráficos com Plotly | Quiz – Criando gráficos interativos | Finalizando o curso | Teste final – Python para Usuários de Excel","Recomendado concluir módulos anteriores da trilha 'Integrando Python e Excel' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"39","Python Office: Python para empresas","Criando Aplicativos Web com Streamlit","1h 35min","Python","Dash, Streamlit","Explore o poder do Streamlit e crie aplicações web incríveis em tempo recorde — tudo isso com poucas linhas de Python.","O que é a biblioteca Streamlit | Como criar um dashboard com Streamlit | Widgets, layouts e componentes | Webapps multipáginas | Projeto: Análise de dados da FIFA com Streamlit | Deploy com Streamlit Cloud","Introdução ao Streamlit | Rodando o primeiro Dashboard | Apresentando dados no Streamlit | Quiz – Introdução ao Streamlit | Input Widgets | Layout | Cacheamento e Multipages | Componentes adicionais | Quiz – Como customizar seu aplicativo | Dash FIFA 2023 | View de jogadores e teams | Ajustando o Carregamento de Imagens no Projeto FIFA com Streamlit | Apresentação projeto – Deploy Streamlit Cloud | Deploy completo no Streamlit Cloud | Teste Final – Criando Aplicativos Web com Streamlit","4.9","Introdução ao Streamlit | Rodando o primeiro Dashboard | Apresentando dados no Streamlit | Quiz – Introdução ao Streamlit | Input Widgets | Layout | Cacheamento e Multipages | Componentes adicionais | Quiz – Como customizar seu aplicativo | Dash FIFA 2023 | View de jogadores e teams | Ajustando o Carregamento de Imagens no Projeto FIFA com Streamlit | Apresentação projeto – Deploy Streamlit Cloud | Deploy completo no Streamlit Cloud | Teste Final – Criando Aplicativos Web com Streamlit","Recomendado concluir módulos anteriores da trilha 'Python Office: Python para empresas' ou ter base em Python","Produto final visível (dashboard/webapp), ótimo para portfólio e entrega de valor imediato."
"40","Análise de Dados com Python","Criando seu Setup para Programação Python","2h 41min","Python","Pandas, Python puro","Instale Python sem mistérios! Este curso te ensina a navegar no terminal e configurar as principais IDEs da forma certa.","Instalação de Python em Windows, Mac e Linux. | Uso prático do terminal. | Configuração de IDEs como VS Code e PyCharm. | Instalação e uso de Notebooks Jupyter. | Uso dos principais sistemas operacionais para programação Python.","O que você vai aprender | O que é um terminal | Quiz – Terminal | O terminal do Windows | Instalando Python no Windows | O terminal do Mac | Instalando Python no Mac | O terminal do Linux | Instalando Python no Linux | Outras opções de instalação | Quiz – Instalação do Python | O que são IDEs | Instalando e configurando o VS Code | Instalando e configurando o Pycharm | O console de iPython | Jupyter Notebook e Jupyter Lab | Outras opções de IDEs | Quiz – Entendendo e configurando IDEs | O que é um ambiente virtual | Criando e ativando seu ambiente virtual | Selecionando o interpretador de Python nas IDEs | Quiz – Ambientes virtuais | Importando arquivos com código – a variável __name__ | Estrutura do projeto e erros de importação | Teste final – Criando seu setup para programação Python","4.9","O que você vai aprender | O que é um terminal | Quiz – Terminal | O terminal do Windows | Instalando Python no Windows | O terminal do Mac | Instalando Python no Mac | O terminal do Linux | Instalando Python no Linux | Outras opções de instalação | Quiz – Instalação do Python | O que são IDEs | Instalando e configurando o VS Code | Instalando e configurando o Pycharm | O console de iPython | Jupyter Notebook e Jupyter Lab | Outras opções de IDEs | Quiz – Entendendo e configurando IDEs | O que é um ambiente virtual | Criando e ativando seu ambiente virtual | Selecionando o interpretador de Python nas IDEs | Quiz – Ambientes virtuais | Importando arquivos com código – a variável __name__ | Estrutura do projeto e erros de importação | Teste final – Criando seu setup para programação Python","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Curso muito popular e bem avaliado, aposta segura."
"41","Análise de Dados com Python","Introdução à Lógica de Programação","51min","Python","Pandas, Python puro","Nunca programou antes? Comece por aqui! Este curso oferece a base lógica para você desenvolver seus conhecimentos em Python.","Princípios da Asimov Academy | O que são linguagens de programação | Variáveis e operadores | Estruturas de controle de fluxo | Estruturas de repetição","não encontrado","4.9","Boas-vindas | Asimov Academy: nossos princípios | O que é uma linguagem de programação | O que podemos e não podemos fazer com Python | Como tirar suas dúvidas? | Apresentação à lógica de programação | O Conceito de Algoritmo | Exemplos práticos de algoritmos | Estrutura dos algoritmos | Elementos básicos da programação | Quiz – Algoritmos | Variáveis | Operadores | Estruturas de controle de fluxo | Estruturas de repetição | Quiz – Variáveis, operadores e estruturas | Teste final – Lógica de programação","Nenhum - curso introdutório / onboarding","Curso muito popular e bem avaliado, aposta segura."
"42","Aprendendo Python","Introdução à Programação Orientada a Objetos com Python","1h 28min","Python","não encontrado","Descubra o que é e como se usa a programação orientada a objetos — uma das formas mais organizadas de escrever código Python!","Objetos e classes em Python | Criação de classes e instâncias | Herança e métodos especiais | Aplicações em projetos práticos","Introdução | Objetos e classes no Python | Criando classes e métodos | Quiz – Métodos e Classes | Herança e Métodos especiais | Projeto: Simulador de Caos – Parte 1 | Projeto: Simulador de Caos – Parte 2 | Projeto: Simulador de Caos – Parte 3 | Projeto: Jogo da Velha – Parte 1 | Projeto: Jogo da Velha – Parte 2 | Projeto: Jogo da Velha – Parte 3 | Teste Final – POO","4.7","Introdução | Objetos e classes no Python | Criando classes e métodos | Quiz – Métodos e Classes | Herança e Métodos especiais | Projeto: Simulador de Caos – Parte 1 | Projeto: Simulador de Caos – Parte 2 | Projeto: Simulador de Caos – Parte 3 | Projeto: Jogo da Velha – Parte 1 | Projeto: Jogo da Velha – Parte 2 | Projeto: Jogo da Velha – Parte 3 | Teste Final – POO","Nenhum - curso introdutório / onboarding","Curso intermediário, bom para aprofundar e complementar trilha."
"43","Aprendendo Python","Aprendendo Python: Conceitos Intermediários","5h 6min","Python","não encontrado","Avance nos seus conhecimentos de Python com este curso de nível intermediário!","Compreensão de listas | Blocos 'with' e 'match case' | Expressões condicionais | Funções de iteração e desempacotamento de sequências | Argumentos arbitrários com *args e **kwargs | Funções lambda | Decoradores | Interação com arquivos e sistema operacional | Manipulação de datas, tempo e textos | Erros comuns em Python e depuração com debugger | Tratamento de exceções","não encontrado","4.9","Introdução ao curso | Conjuntos e seus métodos | Compreensão de lista | Compreensão de dicionários e conjuntos | Desafio – Conjuntos e compreensão de lista | O bloco with | O bloco match case | Operadores de divisão | Expressão condicional | Identidade e o operador is | O operador morsa (expressão de atribuição) | Quiz – Estrutura de dados e operadores | Desafio – Operadores | Funções de iteração | Desempacotando sequências | Iteração avançada com itertools | Desafio – Iteração | Argumentos arbitrários com *args e **kwargs | Funções built-in relevantes | Quiz – Iteração e funções | Funções lambda (anônimas) | Decoradores | Como decoradores funcionam? | Utilidades do módulo functools | Desafio – Funções | Interação com arquivos e sistema operacional | Trabalhando com tempo, datas e horas | Quiz – Funções lambda, decoradores, os e datetime | Manipulação e busca em textos | Desafio – Biblioteca padrão","Recomendado concluir módulos anteriores da trilha 'Aprendendo Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"44","Python Office: Python para empresas","Lendo e Enviando Emails","2h 10min","Python","não encontrado","Descubra como ler e processar emails automaticamente usando Python!","não encontrado","não encontrado","4.8","Por que ler emails com Python? | Credenciais e Acessos | Introdução a Biblioteca Imbox | Estabelecendo a conexão | Conteúdo das Messages | Filtros por Data | Quiz – 1 | O que são as Messages | O que é uma Message | O conceito de UID | Outros Filtros | Quiz – 2 | Recomendação de Estrutura de Classe | Envio básico de e-mails | Anexos e estilização com HTML | Quiz – 3 | Teste Final","Recomendado concluir módulos anteriores da trilha 'Python Office: Python para empresas' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"45","Python Office: Automações com Python","Navegando na Internet Automaticamente com Selenium","4h 49min","Python","Selenium","Aprenda tudo sobre automação de navegadores web utilizando a biblioteca Selenium.","Automação web com Python | Uso eficaz do Selenium | HTML e a básica estrutura de uma página web | Localização de elementos HTML por tag, class, id e mais | Localização de elementos HTML com XPath | Espera por carregamento | Ações em cadeia","O que vamos aprender neste curso | Breve introdução ao Selenium | Entendendo html e a estrutura de uma página web | Localizando elementos por tag e atributos | EXERCÍCIO 01 – Localizando elementos no Mercado Livre | Utilizando XPATH para localizar elementos em um HTML | Quiz 1 | Localizando elementos por XPATH | EXERCÍCIO 02 – Localizando elementos da Amazon | EXERCÍCIO -2 – Localizando elementos na Amazon – Parte 2 | Esperando carregamento de elementos | Explorando métodos de elemento | Ações em cadeia e Keys Especiais | Quiz 2 | Finalizando o curso | Teste Final | Apresentação do projeto – Otimizador de Rotas | Adicionando o primeiro destino | Adicionando segundo destino a aba de rotas | Adicionando múltiplos destinos a aba de rotas | Criando distância entre pares de endereços | Criando otimizador de rotas | Mostrando resultado da otimização","4.9","O que vamos aprender neste curso | Breve introdução ao Selenium | Entendendo html e a estrutura de uma página web | Localizando elementos por tag e atributos | EXERCÍCIO 01 – Localizando elementos no Mercado Livre | Utilizando XPATH para localizar elementos em um HTML | Quiz 1 | Localizando elementos por XPATH | EXERCÍCIO 02 – Localizando elementos da Amazon | EXERCÍCIO -2 – Localizando elementos na Amazon – Parte 2 | Esperando carregamento de elementos | Explorando métodos de elemento | Ações em cadeia e Keys Especiais | Quiz 2 | Finalizando o curso | Teste Final | Apresentação do projeto – Otimizador de Rotas | Adicionando o primeiro destino | Adicionando segundo destino a aba de rotas | Adicionando múltiplos destinos a aba de rotas | Criando distância entre pares de endereços | Criando otimizador de rotas | Mostrando resultado da otimização","Recomendado concluir módulos anteriores da trilha 'Python Office: Automações com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"46","Python Office: Python para empresas","Lendo e Manipulando Arquivos PDF","2h 41min","Python","não encontrado","Domine a manipulação de PDFs com Python para se destacar e trabalhar com eficiência.","Compreender a estrutura de arquivos PDF | Abrir e acessar arquivos PDF com Python | Extrair e combinar páginas de PDFs | Automatizar a adição de carimbos e marcas d'água | Lidar com PDFs protegidos por senha | Extrair texto e imagens de PDFs | Extrair tabelas em documentos PDF para Excel | Realizar tarefas avançadas de manipulação de PDFs com eficiência","não encontrado","4.8","O que é um PDF | A estrutura de um arquivo PDF | Abrindo o primeiro arquivo PDF | Extraindo páginas de um PDF | Combinando PDFs | Quiz 1 – Manipulações básicas | Rotação de páginas e conteúdo | Mudando as dimensões de um PDF | Cortando regiões de um PDF | Adicionando carimbo e marca d’água | PDFs com senha | Anotações e anexos | Quiz 2 – Edição de arquivos PDF | Lendo o texto de um PDF | Os desafios com extração de texto | Extraindo imagens | Convertendo PDFs em imagens | Lendo tabelas de PDFs | Extraindo todas as tabelas de um PDF | Quiz 3 – Extração de dados de arquivos PDF | Teste Final","Recomendado concluir módulos anteriores da trilha 'Python Office: Python para empresas' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
